index,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
874,India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",03-03-2026 15:00:00,12.415911,75.73505,SO2,7.0,7.0,7.0
875,India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",03-03-2026 15:00:00,28.3153,76.9143,PM2.5,111.0,242.0,181.0
876,India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",03-03-2026 15:00:00,29.432304,76.972765,NO2,31.0,32.0,31.0
877,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",03-03-2026 15:00:00,28.360699,76.93609,NH3,8.0,11.0,9.0
878,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",03-03-2026 15:00:00,28.360699,76.93609,CO,14.0,30.0,21.0
879,India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",03-03-2026 15:00:00,28.060249,76.113115,PM10,63.0,123.0,98.0
880,India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",03-03-2026 15:00:00,28.060249,76.113115,NH3,9.0,15.0,12.0
881,India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",03-03-2026 15:00:00,28.1485564,77.3320667,PM2.5,45.0,73.0,60.0
882,India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",03-03-2026 15:00:00,28.1485564,77.3320667,OZONE,8.0,19.0,11.0
883,India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",03-03-2026 15:00:00,23.264759,77.381568,PM10,81.0,245.0,143.0
884,India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",03-03-2026 15:00:00,23.264759,77.381568,CO,30.0,87.0,46.0
885,India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",03-03-2026 15:00:00,23.264759,77.381568,OZONE,7.0,78.0,54.0
886,India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",03-03-2026 15:00:00,23.210494,77.425409,SO2,1.0,28.0,16.0
887,India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",03-03-2026 15:00:00,23.233584,77.400574,SO2,13.0,28.0,20.0
888,India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",03-03-2026 15:00:00,23.233584,77.400574,OZONE,12.0,158.0,158.0
889,India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",03-03-2026 15:00:00,23.81748678,79.446246,PM10,70.0,231.0,128.0
890,India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",03-03-2026 15:00:00,23.81748678,79.446246,CO,10.0,18.0,14.0
891,India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",03-03-2026 15:00:00,22.9682591,76.064118,CO,13.0,99.0,51.0
892,India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",03-03-2026 15:00:00,26.203442,78.193251,NO2,21.0,131.0,62.0
893,India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",03-03-2026 15:00:00,26.259242,78.216432,SO2,4.0,84.0,22.0
894,India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",03-03-2026 15:00:00,26.259242,78.216432,CO,3.0,126.0,39.0
895,India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",03-03-2026 15:00:00,26.259242,78.216432,OZONE,34.0,155.0,93.0
896,India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",03-03-2026 15:00:00,26.200388,78.147714,NH3,4.0,27.0,7.0
897,India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",03-03-2026 15:00:00,22.431,75.5213,OZONE,1.0,75.0,39.0
898,India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",03-03-2026 15:00:00,22.7524,75.8872,PM2.5,26.0,378.0,169.0
899,India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",03-03-2026 15:00:00,22.7524,75.8872,SO2,12.0,15.0,14.0
